#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
QPCTL:54814	17	0	16	0	0
GALR3:8484	11	0	11	0	0
AACS:65985	26	0	20	0	0
VAMP1:6843|TAPBPL:55080	84	3	20	8	2
TRPS1:7227	440	12	184	86	16
FUZ:80199	34	0	16	0	0
LZTR1:8216	2244	22	913	277	39
EMC8:10328	3	0	3	0	0
MED17:9440	415	2	84	38	5
NRBF2:29982	4	0	3	0	0
NUSAP1:51203	9	0	8	1	0
SCN2B:6327	154	0	75	0	0
OR1S2:219958	12	0	12	0	0
PPP1R32:220004	16	0	14	0	0
SNRPB:6628	86	0	29	2	5
ARNT2:9915|LOC101929586:101929586	3	0	2	0	0
LRRC4C:57689	7	0	7	0	0
IFI44:10561	17	0	13	0	0
LCA5:167691	648	2	218	78	6
ANXA9:8416	12	0	12	0	0
ASB7:140460	9	0	5	0	0
PYCR2:29920	102	6	38	8	7
PAEP:5047	10	0	5	1	0
GPR37:2861	21	0	15	0	0
VENTX:27287	16	0	16	0	0
TSPAN10:83882	11	0	11	0	0
MIER1:57708	4	0	4	0	0
NGB:58157	6	0	5	0	0
RPL26L1:51121	4	0	4	0	0
PLXNC1:10154|CEP83:51134	15	0	8	0	0
TFDP3:51270	6	0	5	0	0
PSMA5:5686	1	0	1	0	0
CLMN:79789	51	0	41	0	0
RNF32:140545	2	0	2	0	0
S1PR3:1903|C9orf47:286223	3	0	0	0	0
CCDC125:202243	12	0	10	0	0
NPR1:4881	21	0	14	0	0
MTFP1:51537	4	0	3	0	0
FAM9C:171484	4	0	3	0	0
UNC5B:219699	36	0	34	0	0
PTGIS:5740	20	1	14	1	1
SART3:9733	26	0	20	0	0
DNAH7:56171	174	2	136	0	2
TIMM22:29928	8	0	4	1	0
TMED6:146456	5	0	5	0	0
PHRF1:57661	97	0	94	0	0
CYP2S1:29785	17	0	15	0	0
SCO2:9997	7	0	0	0	0
DMRTA1:63951	22	0	21	0	0
MAP3K21:84451	1	0	0	0	0
HNRNPK:3190	141	12	20	23	22
ABCA9:10350	39	0	39	0	0
PPP1R3B:79660	12	0	12	0	0
CCDC126:90693	4	0	4	0	0
PRAMEF11:440560	23	0	23	0	0
